"full_name","email","department","role","sentiment_score","match_score"
"Mia Bennett","mia.bennett.cand@public.local","sales","Account Executive","0.6","0.49"
"Ethan Bennett","ethan.bennett.cand@public.local","sales","Account Executive","0.83","0.69"
"Amelia Bennett","amelia.bennett.cand@public.local","sales","Account Executive","0.53","0.75"
"James Bennett","james.bennett.cand@public.local","sales","Account Executive","0.79","0.97"
"Harper Bennett","harper.bennett.cand@public.local","sales","Account Executive","0.96","0.49"
"Benjamin Bennett","benjamin.bennett.cand@public.local","accounting","Business Associate","0.5","0.56"
"Evelyn Bennett","evelyn.bennett.cand@public.local","accounting","Business Associate","0.68","0.81"
"Elijah Bennett","elijah.bennett.cand@public.local","accounting","Business Associate","0.24","0.54"
"Abigail Bennett","abigail.bennett.cand@public.local","hr","HR Generalist","0.8","0.8"
"Daniel Bennett","daniel.bennett.cand@public.local","hr","HR Generalist","0.62","0.74"
"Ella Bennett","ella.bennett.cand@public.local","hr","HR Generalist","1","0.85"
"Aarav Ramirez","aarav.ramirez.cand@public.local","hr","HR Generalist","0.64","0.75"
"Olivia Ramirez","olivia.ramirez.cand@public.local","technical","Software Engineer","0.51","0.55"
"Noah Ramirez","noah.ramirez.cand@public.local","technical","Software Engineer","0.74","0.5"
"Emma Ramirez","emma.ramirez.cand@public.local","technical","Software Engineer","0.49","0.99"
"Liam Ramirez","liam.ramirez.cand@public.local","technical","Software Engineer","0.96","0.83"
"Sophia Ramirez","sophia.ramirez.cand@public.local","technical","Software Engineer","0.59","0.62"
"Mason Ramirez","mason.ramirez.cand@public.local","technical","Software Engineer","0.84","0.57"
"Isabella Ramirez","isabella.ramirez.cand@public.local","technical","Software Engineer","0.16","0.84"
"Lucas Ramirez","lucas.ramirez.cand@public.local","technical","Software Engineer","0.62","0.75"
"Mia Ramirez","mia.ramirez.cand@public.local","technical","Software Engineer","0.79","0.67"
"Ethan Ramirez","ethan.ramirez.cand@public.local","technical","Software Engineer","0.53","0.83"
"Amelia Ramirez","amelia.ramirez.cand@public.local","technical","Software Engineer","0.17","0.48"
"James Ramirez","james.ramirez.cand@public.local","support","Customer Support Specialist","0.57","0.76"
"Harper Ramirez","harper.ramirez.cand@public.local","support","Customer Support Specialist","0.65","0.82"
"Benjamin Ramirez","benjamin.ramirez.cand@public.local","support","Customer Support Specialist","0.69","0.74"
"Evelyn Ramirez","evelyn.ramirez.cand@public.local","support","Customer Support Specialist","0.3","0.8"
"Elijah Ramirez","elijah.ramirez.cand@public.local","support","Customer Support Specialist","0.99","0.92"
"Abigail Ramirez","abigail.ramirez.cand@public.local","support","Customer Support Specialist","0.5","0.69"
"Daniel Ramirez","daniel.ramirez.cand@public.local","support","Customer Support Specialist","0.54","0.96"
"Ella Ramirez","ella.ramirez.cand@public.local","support","Customer Support Specialist","0.69","0.57"
"Aarav Shaw","aarav.shaw.cand@public.local","support","Customer Support Specialist","0.5","0.85"
"Olivia Shaw","olivia.shaw.cand@public.local","support","Customer Support Specialist","0.66","0.73"
"Noah Shaw","noah.shaw.cand@public.local","support","Customer Support Specialist","1","0.93"
"Emma Shaw","emma.shaw.cand@public.local","technical","Software Engineer","0.15","0.61"
"Liam Shaw","liam.shaw.cand@public.local","technical","Software Engineer","0.31","0.54"
"Sophia Shaw","sophia.shaw.cand@public.local","technical","Software Engineer","0.65","0.49"
"Mason Shaw","mason.shaw.cand@public.local","management","Operations Manager","0.72","0.69"
"Isabella Shaw","isabella.shaw.cand@public.local","IT","IT Specialist","0.84","0.85"
"Lucas Shaw","lucas.shaw.cand@public.local","IT","IT Specialist","0.55","0.8"
"Mia Shaw","mia.shaw.cand@public.local","IT","IT Specialist","0.6","0.58"
"Ethan Shaw","ethan.shaw.cand@public.local","IT","IT Specialist","0.84","0.48"
"Amelia Shaw","amelia.shaw.cand@public.local","IT","IT Specialist","0.68","0.87"
"James Shaw","james.shaw.cand@public.local","product_mng","Product Analyst","0.13","1"
"Harper Shaw","harper.shaw.cand@public.local","product_mng","Product Analyst","0.88","0.98"
"Benjamin Shaw","benjamin.shaw.cand@public.local","product_mng","Product Analyst","0.64","0.57"
"Evelyn Shaw","evelyn.shaw.cand@public.local","product_mng","Product Analyst","0.19","0.95"
"Elijah Shaw","elijah.shaw.cand@public.local","IT","IT Specialist","0.83","0.88"
"Abigail Shaw","abigail.shaw.cand@public.local","RandD","Research Associate","0.17","0.41"
"Daniel Shaw","daniel.shaw.cand@public.local","RandD","Research Associate","0.44","0.74"
"Ella Shaw","ella.shaw.cand@public.local","RandD","Research Associate","0.52","0.55"
"Aarav Cruz","aarav.cruz.cand@public.local","RandD","Research Associate","0.66","0.62"
"Olivia Cruz","olivia.cruz.cand@public.local","RandD","Research Associate","0.96","0.55"
"Noah Cruz","noah.cruz.cand@public.local","RandD","Research Associate","0.19","0.5"
"Emma Cruz","emma.cruz.cand@public.local","marketing","Growth Marketing Specialist","0.86","1"
"Liam Cruz","liam.cruz.cand@public.local","sales","Account Executive","0.65","0.57"
"Sophia Cruz","sophia.cruz.cand@public.local","accounting","Business Associate","0.61","0.97"
"Mason Cruz","mason.cruz.cand@public.local","support","Customer Support Specialist","0.53","0.96"
"Isabella Cruz","isabella.cruz.cand@public.local","technical","Software Engineer","0.14","0.76"
"Lucas Cruz","lucas.cruz.cand@public.local","management","Operations Manager","0.74","1"
"Mia Cruz","mia.cruz.cand@public.local","marketing","Growth Marketing Specialist","0.47","0.62"
"Ethan Cruz","ethan.cruz.cand@public.local","marketing","Growth Marketing Specialist","0.6","0.56"
"Amelia Cruz","amelia.cruz.cand@public.local","marketing","Growth Marketing Specialist","0.81","0.58"
"James Cruz","james.cruz.cand@public.local","sales","Account Executive","0.95","0.59"
"Harper Cruz","harper.cruz.cand@public.local","sales","Account Executive","0.98","0.8"
"Benjamin Cruz","benjamin.cruz.cand@public.local","sales","Account Executive","0.52","0.8"
"Evelyn Cruz","evelyn.cruz.cand@public.local","sales","Account Executive","1","0.97"
"Elijah Cruz","elijah.cruz.cand@public.local","sales","Account Executive","0.16","0.74"
"Abigail Cruz","abigail.cruz.cand@public.local","sales","Account Executive","0.19","0.83"
"Daniel Cruz","daniel.cruz.cand@public.local","sales","Account Executive","0.94","0.87"
"Ella Cruz","ella.cruz.cand@public.local","sales","Account Executive","0.58","0.43"
"Aarav Powell","aarav.powell.cand@public.local","sales","Account Executive","0.92","0.69"
"Olivia Powell","olivia.powell.cand@public.local","sales","Account Executive","0.65","0.8"
"Noah Powell","noah.powell.cand@public.local","sales","Account Executive","0.74","0.74"
"Emma Powell","emma.powell.cand@public.local","sales","Account Executive","0.6","0.53"
"Liam Powell","liam.powell.cand@public.local","sales","Account Executive","1","1"
"Sophia Powell","sophia.powell.cand@public.local","sales","Account Executive","0.81","0.96"
"Mason Powell","mason.powell.cand@public.local","sales","Account Executive","0.54","0.67"
"Isabella Powell","isabella.powell.cand@public.local","sales","Account Executive","0.18","0.81"
"Lucas Powell","lucas.powell.cand@public.local","sales","Account Executive","0.82","0.88"
"Mia Powell","mia.powell.cand@public.local","sales","Account Executive","0.9","0.96"
"Ethan Powell","ethan.powell.cand@public.local","sales","Account Executive","0.62","0.62"
"Amelia Powell","amelia.powell.cand@public.local","accounting","Business Associate","0.77","0.76"
"James Powell","james.powell.cand@public.local","accounting","Business Associate","0.58","0.86"
"Harper Powell","harper.powell.cand@public.local","accounting","Business Associate","0.27","0.47"
"Benjamin Powell","benjamin.powell.cand@public.local","hr","HR Generalist","0.78","0.72"
"Evelyn Powell","evelyn.powell.cand@public.local","hr","HR Generalist","0.98","0.66"
"Elijah Powell","elijah.powell.cand@public.local","hr","HR Generalist","0.75","0.5"
"Abigail Powell","abigail.powell.cand@public.local","hr","HR Generalist","0.74","0.67"
"Daniel Powell","daniel.powell.cand@public.local","technical","Software Engineer","0.9","0.99"
"Ella Powell","ella.powell.cand@public.local","technical","Software Engineer","0.73","0.71"
"Aarav Murphy","aarav.murphy.cand@public.local","technical","Software Engineer","0.9","0.62"
"Olivia Murphy","olivia.murphy.cand@public.local","technical","Software Engineer","0.68","0.91"
"Noah Murphy","noah.murphy.cand@public.local","technical","Software Engineer","0.9","0.74"
"Emma Murphy","emma.murphy.cand@public.local","technical","Software Engineer","0.64","0.93"
"Liam Murphy","liam.murphy.cand@public.local","technical","Software Engineer","0.63","0.9"
"Sophia Murphy","sophia.murphy.cand@public.local","technical","Software Engineer","0.87","0.89"
"Mason Murphy","mason.murphy.cand@public.local","technical","Software Engineer","0.6","0.55"
"Isabella Murphy","isabella.murphy.cand@public.local","technical","Software Engineer","0.7","0.74"
"Lucas Murphy","lucas.murphy.cand@public.local","technical","Software Engineer","0.15","0.94"
"Mia Murphy","mia.murphy.cand@public.local","support","Customer Support Specialist","0.45","0.75"
"Ethan Murphy","ethan.murphy.cand@public.local","support","Customer Support Specialist","0.43","0.9"
"Amelia Murphy","amelia.murphy.cand@public.local","support","Customer Support Specialist","0.92","0.46"
"James Murphy","james.murphy.cand@public.local","support","Customer Support Specialist","0.72","0.81"
"Harper Murphy","harper.murphy.cand@public.local","support","Customer Support Specialist","0.94","0.84"
"Benjamin Murphy","benjamin.murphy.cand@public.local","support","Customer Support Specialist","0.74","0.52"
"Evelyn Murphy","evelyn.murphy.cand@public.local","support","Customer Support Specialist","0.48","0.71"
"Elijah Murphy","elijah.murphy.cand@public.local","support","Customer Support Specialist","0.84","0.76"
"Abigail Murphy","abigail.murphy.cand@public.local","support","Customer Support Specialist","0.53","0.86"
"Daniel Murphy","daniel.murphy.cand@public.local","support","Customer Support Specialist","0.45","0.88"
"Ella Murphy","ella.murphy.cand@public.local","support","Customer Support Specialist","0.95","0.67"
"Aarav Hayes","aarav.hayes.cand@public.local","technical","Software Engineer","0.95","0.58"
"Olivia Hayes","olivia.hayes.cand@public.local","technical","Software Engineer","0.7","0.85"
"Noah Hayes","noah.hayes.cand@public.local","technical","Software Engineer","0.19","0.93"
"Emma Hayes","emma.hayes.cand@public.local","management","Operations Manager","0.74","0.91"
"Liam Hayes","liam.hayes.cand@public.local","IT","IT Specialist","0.54","0.59"
"Sophia Hayes","sophia.hayes.cand@public.local","IT","IT Specialist","0.5","0.69"
"Mason Hayes","mason.hayes.cand@public.local","IT","IT Specialist","0.95","0.72"
"Isabella Hayes","isabella.hayes.cand@public.local","IT","IT Specialist","0.69","0.69"
"Lucas Hayes","lucas.hayes.cand@public.local","IT","IT Specialist","0.24","0.74"
"Mia Hayes","mia.hayes.cand@public.local","product_mng","Product Analyst","0.96","0.7"
"Ethan Hayes","ethan.hayes.cand@public.local","product_mng","Product Analyst","0.61","0.5"
"Amelia Hayes","amelia.hayes.cand@public.local","product_mng","Product Analyst","0.76","0.53"
"James Hayes","james.hayes.cand@public.local","product_mng","Product Analyst","0.61","0.64"
"Harper Hayes","harper.hayes.cand@public.local","IT","IT Specialist","0.37","0.48"
"Benjamin Hayes","benjamin.hayes.cand@public.local","RandD","Research Associate","0.81","0.9"
"Evelyn Hayes","evelyn.hayes.cand@public.local","RandD","Research Associate","0.59","0.9"
"Elijah Hayes","elijah.hayes.cand@public.local","RandD","Research Associate","0.73","0.82"
"Abigail Hayes","abigail.hayes.cand@public.local","RandD","Research Associate","0.87","0.57"
"Daniel Hayes","daniel.hayes.cand@public.local","RandD","Research Associate","0.67","0.66"
"Ella Hayes","ella.hayes.cand@public.local","RandD","Research Associate","0.96","0.78"
"Aarav Parker","aarav.parker.cand@public.local","marketing","Growth Marketing Specialist","0.98","0.51"
"Olivia Parker","olivia.parker.cand@public.local","sales","Account Executive","0.5","0.58"
"Noah Parker","noah.parker.cand@public.local","accounting","Business Associate","0.49","0.71"
"Emma Parker","emma.parker.cand@public.local","support","Customer Support Specialist","0.13","0.65"
"Liam Parker","liam.parker.cand@public.local","technical","Software Engineer","0.57","0.68"
"Sophia Parker","sophia.parker.cand@public.local","management","Operations Manager","0.51","0.94"
"Mason Parker","mason.parker.cand@public.local","marketing","Growth Marketing Specialist","0.99","0.69"
"Isabella Parker","isabella.parker.cand@public.local","marketing","Growth Marketing Specialist","0.8","0.77"
"Lucas Parker","lucas.parker.cand@public.local","marketing","Growth Marketing Specialist","0.56","0.39"
"Mia Parker","mia.parker.cand@public.local","sales","Account Executive","0.96","0.84"
"Ethan Parker","ethan.parker.cand@public.local","sales","Account Executive","0.96","0.5"
"Amelia Parker","amelia.parker.cand@public.local","sales","Account Executive","0.87","0.53"
"James Parker","james.parker.cand@public.local","sales","Account Executive","0.61","0.9"
"Harper Parker","harper.parker.cand@public.local","sales","Account Executive","0.18","0.6"
"Benjamin Parker","benjamin.parker.cand@public.local","sales","Account Executive","0.24","0.77"
"Evelyn Parker","evelyn.parker.cand@public.local","sales","Account Executive","0.86","0.48"
"Elijah Parker","elijah.parker.cand@public.local","sales","Account Executive","0.25","0.62"
"Abigail Parker","abigail.parker.cand@public.local","sales","Account Executive","0.25","0.82"
"Daniel Parker","daniel.parker.cand@public.local","sales","Account Executive","0.63","0.55"
"Ella Parker","ella.parker.cand@public.local","sales","Account Executive","0.89","0.68"
"Aarav Reed","aarav.reed.cand@public.local","sales","Account Executive","0.87","0.82"
"Olivia Reed","olivia.reed.cand@public.local","sales","Account Executive","0.87","0.78"
"Noah Reed","noah.reed.cand@public.local","sales","Account Executive","0.71","0.99"
"Emma Reed","emma.reed.cand@public.local","sales","Account Executive","0.98","0.87"
"Liam Reed","liam.reed.cand@public.local","sales","Account Executive","0.16","0.51"
"Sophia Reed","sophia.reed.cand@public.local","sales","Account Executive","0.83","0.68"
"Mason Reed","mason.reed.cand@public.local","sales","Account Executive","0.65","0.77"
"Isabella Reed","isabella.reed.cand@public.local","sales","Account Executive","0.95","0.64"
"Lucas Reed","lucas.reed.cand@public.local","accounting","Business Associate","0.67","0.67"
"Mia Reed","mia.reed.cand@public.local","accounting","Business Associate","0.53","0.88"
"Ethan Reed","ethan.reed.cand@public.local","accounting","Business Associate","0.74","0.94"
"Amelia Reed","amelia.reed.cand@public.local","hr","HR Generalist","0.77","0.79"
"James Reed","james.reed.cand@public.local","hr","HR Generalist","0.13","0.72"
"Harper Reed","harper.reed.cand@public.local","hr","HR Generalist","0.82","0.92"
"Benjamin Reed","benjamin.reed.cand@public.local","hr","HR Generalist","0.88","0.65"
"Evelyn Reed","evelyn.reed.cand@public.local","technical","Software Engineer","0.89","0.5"
"Elijah Reed","elijah.reed.cand@public.local","technical","Software Engineer","0.85","0.51"
"Abigail Reed","abigail.reed.cand@public.local","technical","Software Engineer","0.93","0.87"
"Daniel Reed","daniel.reed.cand@public.local","technical","Software Engineer","0.62","0.7"
"Ella Reed","ella.reed.cand@public.local","technical","Software Engineer","0.58","0.96"
"Aarav Patel","aarav.patel.cand@public.local","technical","Software Engineer","0.98","0.5"
"Olivia Patel","olivia.patel.cand@public.local","technical","Software Engineer","0.52","0.45"
"Noah Patel","noah.patel.cand@public.local","technical","Software Engineer","0.76","0.49"
"Emma Patel","emma.patel.cand@public.local","technical","Software Engineer","0.73","0.91"
"Liam Patel","liam.patel.cand@public.local","technical","Software Engineer","0.74","0.64"
"Sophia Patel","sophia.patel.cand@public.local","technical","Software Engineer","0.49","0.48"
"Mason Patel","mason.patel.cand@public.local","support","Customer Support Specialist","0.91","0.97"
"Isabella Patel","isabella.patel.cand@public.local","support","Customer Support Specialist","0.74","0.92"
"Lucas Patel","lucas.patel.cand@public.local","support","Customer Support Specialist","0.86","0.82"
"Mia Patel","mia.patel.cand@public.local","support","Customer Support Specialist","0.52","0.47"
"Ethan Patel","ethan.patel.cand@public.local","support","Customer Support Specialist","0.95","0.81"
"Amelia Patel","amelia.patel.cand@public.local","support","Customer Support Specialist","0.65","0.98"
"James Patel","james.patel.cand@public.local","support","Customer Support Specialist","0.7","0.56"
"Harper Patel","harper.patel.cand@public.local","support","Customer Support Specialist","0.14","0.66"
"Benjamin Patel","benjamin.patel.cand@public.local","support","Customer Support Specialist","0.92","0.53"
"Evelyn Patel","evelyn.patel.cand@public.local","support","Customer Support Specialist","0.54","0.6"
"Elijah Patel","elijah.patel.cand@public.local","support","Customer Support Specialist","0.76","0.95"
"Abigail Patel","abigail.patel.cand@public.local","technical","Software Engineer","0.78","0.66"
"Daniel Patel","daniel.patel.cand@public.local","technical","Software Engineer","0.85","0.86"
"Ella Patel","ella.patel.cand@public.local","technical","Software Engineer","0.78","0.8"
"Aarav Kim","aarav.kim.cand@public.local","management","Operations Manager","0.55","0.72"
"Olivia Kim","olivia.kim.cand@public.local","IT","IT Specialist","0.68","0.61"
"Noah Kim","noah.kim.cand@public.local","IT","IT Specialist","0.91","0.68"
"Emma Kim","emma.kim.cand@public.local","IT","IT Specialist","0.76","0.56"
"Liam Kim","liam.kim.cand@public.local","IT","IT Specialist","0.15","0.67"
"Sophia Kim","sophia.kim.cand@public.local","IT","IT Specialist","0.95","0.6"
"Mason Kim","mason.kim.cand@public.local","product_mng","Product Analyst","0.74","0.37"
"Isabella Kim","isabella.kim.cand@public.local","product_mng","Product Analyst","0.92","0.56"
"Lucas Kim","lucas.kim.cand@public.local","product_mng","Product Analyst","0.64","0.89"
"Mia Kim","mia.kim.cand@public.local","product_mng","Product Analyst","0.96","0.9"
"Ethan Kim","ethan.kim.cand@public.local","IT","IT Specialist","0.21","0.72"
"Amelia Kim","amelia.kim.cand@public.local","RandD","Research Associate","0.85","0.67"
"James Kim","james.kim.cand@public.local","RandD","Research Associate","0.52","0.86"
"Harper Kim","harper.kim.cand@public.local","RandD","Research Associate","0.54","0.81"
"Benjamin Kim","benjamin.kim.cand@public.local","RandD","Research Associate","0.56","0.81"
"Evelyn Kim","evelyn.kim.cand@public.local","RandD","Research Associate","0.59","0.79"
"Elijah Kim","elijah.kim.cand@public.local","marketing","Growth Marketing Specialist","0.88","0.58"
"Abigail Kim","abigail.kim.cand@public.local","sales","Account Executive","0.7","0.84"
"Daniel Kim","daniel.kim.cand@public.local","accounting","Business Associate","0.95","0.58"
"Ella Kim","ella.kim.cand@public.local","support","Customer Support Specialist","0.83","0.88"
"Aarav Brooks","aarav.brooks.cand@public.local","technical","Software Engineer","0.76","0.62"
"Olivia Brooks","olivia.brooks.cand@public.local","management","Operations Manager","0.82","0.92"
"Noah Brooks","noah.brooks.cand@public.local","marketing","Growth Marketing Specialist","0.55","0.97"
"Emma Brooks","emma.brooks.cand@public.local","marketing","Growth Marketing Specialist","0.89","0.55"
"Liam Brooks","liam.brooks.cand@public.local","marketing","Growth Marketing Specialist","0.66","0.94"
"Sophia Brooks","sophia.brooks.cand@public.local","sales","Account Executive","0.41","0.61"
"Mason Brooks","mason.brooks.cand@public.local","sales","Account Executive","0.83","0.77"
"Isabella Brooks","isabella.brooks.cand@public.local","sales","Account Executive","0.88","0.72"
"Lucas Brooks","lucas.brooks.cand@public.local","sales","Account Executive","0.56","0.66"
"Mia Brooks","mia.brooks.cand@public.local","sales","Account Executive","0.53","0.72"
"Ethan Brooks","ethan.brooks.cand@public.local","sales","Account Executive","0.8","0.41"
"Amelia Brooks","amelia.brooks.cand@public.local","sales","Account Executive","0.95","0.78"
"James Brooks","james.brooks.cand@public.local","sales","Account Executive","0.9","0.88"
"Harper Brooks","harper.brooks.cand@public.local","sales","Account Executive","0.5","0.97"
"Benjamin Brooks","benjamin.brooks.cand@public.local","sales","Account Executive","0.4","0.59"
"Evelyn Brooks","evelyn.brooks.cand@public.local","sales","Account Executive","0.52","0.85"
"Elijah Brooks","elijah.brooks.cand@public.local","sales","Account Executive","0.51","0.5"
"Abigail Brooks","abigail.brooks.cand@public.local","sales","Account Executive","0.84","0.62"
"Daniel Brooks","daniel.brooks.cand@public.local","sales","Account Executive","0.78","0.98"
"Ella Brooks","ella.brooks.cand@public.local","sales","Account Executive","0.91","0.71"
"Aarav Diaz","aarav.diaz.cand@public.local","sales","Account Executive","0.59","0.71"
"Olivia Diaz","olivia.diaz.cand@public.local","sales","Account Executive","0.69","0.97"
"Noah Diaz","noah.diaz.cand@public.local","sales","Account Executive","0.87","0.93"
"Emma Diaz","emma.diaz.cand@public.local","sales","Account Executive","0.66","1"
"Liam Diaz","liam.diaz.cand@public.local","accounting","Business Associate","0.5","0.54"
"Sophia Diaz","sophia.diaz.cand@public.local","accounting","Business Associate","0.95","0.75"
"Mason Diaz","mason.diaz.cand@public.local","accounting","Business Associate","0.77","0.64"
"Isabella Diaz","isabella.diaz.cand@public.local","hr","HR Generalist","0.66","0.5"
"Lucas Diaz","lucas.diaz.cand@public.local","hr","HR Generalist","0.61","0.98"
"Mia Diaz","mia.diaz.cand@public.local","hr","HR Generalist","0.7","0.87"
"Ethan Diaz","ethan.diaz.cand@public.local","hr","HR Generalist","0.89","0.71"
"Amelia Diaz","amelia.diaz.cand@public.local","technical","Software Engineer","0.6","0.78"
"James Diaz","james.diaz.cand@public.local","technical","Software Engineer","0.62","0.51"
"Harper Diaz","harper.diaz.cand@public.local","technical","Software Engineer","0.59","0.9"
"Benjamin Diaz","benjamin.diaz.cand@public.local","technical","Software Engineer","0.69","0.59"
"Evelyn Diaz","evelyn.diaz.cand@public.local","technical","Software Engineer","0.36","0.94"
"Elijah Diaz","elijah.diaz.cand@public.local","technical","Software Engineer","0.59","0.93"
"Abigail Diaz","abigail.diaz.cand@public.local","technical","Software Engineer","0.5","0.51"
"Daniel Diaz","daniel.diaz.cand@public.local","technical","Software Engineer","0.53","0.99"
"Ella Diaz","ella.diaz.cand@public.local","technical","Software Engineer","0.84","0.9"
"Aarav Singh","aarav.singh.cand@public.local","technical","Software Engineer","0.51","0.95"
"Olivia Singh","olivia.singh.cand@public.local","technical","Software Engineer","0.53","0.56"
"Noah Singh","noah.singh.cand@public.local","support","Customer Support Specialist","0.98","0.63"
"Emma Singh","emma.singh.cand@public.local","support","Customer Support Specialist","0.95","0.81"
"Liam Singh","liam.singh.cand@public.local","support","Customer Support Specialist","0.13","0.76"
"Sophia Singh","sophia.singh.cand@public.local","support","Customer Support Specialist","0.5","0.64"
"Mason Singh","mason.singh.cand@public.local","support","Customer Support Specialist","0.93","0.76"
"Isabella Singh","isabella.singh.cand@public.local","support","Customer Support Specialist","0.5","0.87"
"Lucas Singh","lucas.singh.cand@public.local","support","Customer Support Specialist","0.66","0.84"
"Mia Singh","mia.singh.cand@public.local","support","Customer Support Specialist","0.89","0.79"
"Ethan Singh","ethan.singh.cand@public.local","support","Customer Support Specialist","0.46","0.43"
"Amelia Singh","amelia.singh.cand@public.local","support","Customer Support Specialist","0.67","0.6"
"James Singh","james.singh.cand@public.local","support","Customer Support Specialist","0.96","0.9"
"Harper Singh","harper.singh.cand@public.local","technical","Software Engineer","0.98","0.76"
"Benjamin Singh","benjamin.singh.cand@public.local","technical","Software Engineer","0.67","0.57"
"Evelyn Singh","evelyn.singh.cand@public.local","technical","Software Engineer","0.72","0.72"
"Elijah Singh","elijah.singh.cand@public.local","management","Operations Manager","0.65","0.49"
"Abigail Singh","abigail.singh.cand@public.local","IT","IT Specialist","0.72","0.67"
"Daniel Singh","daniel.singh.cand@public.local","IT","IT Specialist","0.78","0.58"
"Ella Singh","ella.singh.cand@public.local","IT","IT Specialist","0.93","0.56"
"Aarav Martinez","aarav.martinez.cand@public.local","IT","IT Specialist","0.73","0.85"
"Olivia Martinez","olivia.martinez.cand@public.local","IT","IT Specialist","0.2","0.57"
"Noah Martinez","noah.martinez.cand@public.local","product_mng","Product Analyst","0.47","0.5"
"Emma Martinez","emma.martinez.cand@public.local","product_mng","Product Analyst","0.56","0.62"
"Liam Martinez","liam.martinez.cand@public.local","product_mng","Product Analyst","0.72","0.86"
"Sophia Martinez","sophia.martinez.cand@public.local","product_mng","Product Analyst","0.91","0.56"
"Mason Martinez","mason.martinez.cand@public.local","IT","IT Specialist","0.79","0.49"
"Isabella Martinez","isabella.martinez.cand@public.local","RandD","Research Associate","0.53","0.75"
"Lucas Martinez","lucas.martinez.cand@public.local","RandD","Research Associate","0.14","0.51"
"Mia Martinez","mia.martinez.cand@public.local","RandD","Research Associate","0.78","0.92"
"Ethan Martinez","ethan.martinez.cand@public.local","RandD","Research Associate","0.52","0.74"
"Amelia Martinez","amelia.martinez.cand@public.local","RandD","Research Associate","0.94","0.68"
"James Martinez","james.martinez.cand@public.local","marketing","Growth Marketing Specialist","0.83","0.8"
"Harper Martinez","harper.martinez.cand@public.local","marketing","Growth Marketing Specialist","0.44","0.68"
"Benjamin Martinez","benjamin.martinez.cand@public.local","sales","Account Executive","0.72","0.74"
"Evelyn Martinez","evelyn.martinez.cand@public.local","accounting","Business Associate","0.84","0.58"
"Elijah Martinez","elijah.martinez.cand@public.local","support","Customer Support Specialist","0.76","0.99"
"Abigail Martinez","abigail.martinez.cand@public.local","technical","Software Engineer","0.92","0.94"
"Daniel Martinez","daniel.martinez.cand@public.local","management","Operations Manager","0.58","0.93"
"Ella Martinez","ella.martinez.cand@public.local","marketing","Growth Marketing Specialist","0.85","0.81"
"Aarav Walker","aarav.walker.cand@public.local","marketing","Growth Marketing Specialist","0.74","0.51"
"Olivia Walker","olivia.walker.cand@public.local","marketing","Growth Marketing Specialist","0.74","0.87"
"Noah Walker","noah.walker.cand@public.local","sales","Account Executive","0.72","0.8"
"Emma Walker","emma.walker.cand@public.local","sales","Account Executive","0.76","0.98"
"Liam Walker","liam.walker.cand@public.local","sales","Account Executive","0.85","0.72"
"Sophia Walker","sophia.walker.cand@public.local","sales","Account Executive","0.82","0.49"
"Mason Walker","mason.walker.cand@public.local","sales","Account Executive","0.6","0.93"
"Isabella Walker","isabella.walker.cand@public.local","sales","Account Executive","0.39","0.64"
"Lucas Walker","lucas.walker.cand@public.local","sales","Account Executive","0.83","0.53"
"Mia Walker","mia.walker.cand@public.local","sales","Account Executive","0.7","0.92"
"Ethan Walker","ethan.walker.cand@public.local","sales","Account Executive","0.84","0.97"
"Amelia Walker","amelia.walker.cand@public.local","sales","Account Executive","0.9","0.77"
"James Walker","james.walker.cand@public.local","sales","Account Executive","0.18","0.84"
"Harper Walker","harper.walker.cand@public.local","sales","Account Executive","0.52","0.71"
"Benjamin Walker","benjamin.walker.cand@public.local","sales","Account Executive","0.87","0.51"
"Evelyn Walker","evelyn.walker.cand@public.local","sales","Account Executive","0.6","0.79"
"Elijah Walker","elijah.walker.cand@public.local","sales","Account Executive","0.72","0.93"
"Abigail Walker","abigail.walker.cand@public.local","sales","Account Executive","0.48","0.64"
"Daniel Walker","daniel.walker.cand@public.local","sales","Account Executive","0.75","0.53"
"Ella Walker","ella.walker.cand@public.local","sales","Account Executive","0.85","0.55"
"Aarav Evans","aarav.evans.cand@public.local","sales","Account Executive","0.39","0.41"
"Olivia Evans","olivia.evans.cand@public.local","accounting","Business Associate","0.61","0.68"
"Noah Evans","noah.evans.cand@public.local","accounting","Business Associate","0.6","0.61"
"Emma Evans","emma.evans.cand@public.local","accounting","Business Associate","0.57","0.64"
"Liam Evans","liam.evans.cand@public.local","hr","HR Generalist","0.19","0.68"
"Sophia Evans","sophia.evans.cand@public.local","hr","HR Generalist","0.48","0.77"
"Mason Evans","mason.evans.cand@public.local","hr","HR Generalist","0.69","0.75"
"Isabella Evans","isabella.evans.cand@public.local","hr","HR Generalist","0.7","0.55"
"Lucas Evans","lucas.evans.cand@public.local","technical","Software Engineer","0.65","0.92"
"Mia Evans","mia.evans.cand@public.local","technical","Software Engineer","0.81","0.96"
"Ethan Evans","ethan.evans.cand@public.local","technical","Software Engineer","0.85","0.95"
"Amelia Evans","amelia.evans.cand@public.local","technical","Software Engineer","0.93","0.76"
"James Evans","james.evans.cand@public.local","technical","Software Engineer","0.72","0.94"
"Harper Evans","harper.evans.cand@public.local","technical","Software Engineer","0.49","0.55"
"Benjamin Evans","benjamin.evans.cand@public.local","technical","Software Engineer","0.94","0.47"
