"full_name","email","department","role","sentiment_score","is_at_risk","retention_prob"
"Sophia Parker","sophia.parker.emp405@public.local","Research & Development","Laboratory Technician","0.75","true","0.75"
"Mason Parker","mason.parker.emp406@public.local","Sales","Sales Executive","0.5","false","0.75"
"Isabella Parker","isabella.parker.emp407@public.local","Research & Development","Laboratory Technician","1","false","0.75"
"Lucas Parker","lucas.parker.emp408@public.local","Research & Development","Manufacturing Director","0.5","false","1"
"Ethan Parker","ethan.parker.emp410@public.local","Sales","Manager","0.5","false","1"
"Amelia Parker","amelia.parker.emp411@public.local","Sales","Sales Representative","0.75","false","1"
"James Parker","james.parker.emp412@public.local","Research & Development","Healthcare Representative","0.25","false","0.5"
"Elijah Parker","elijah.parker.emp416@public.local","Sales","Sales Executive","1","false","0.5"
"Abigail Parker","abigail.parker.emp417@public.local","Research & Development","Healthcare Representative","1","false","0.75"
"Ella Parker","ella.parker.emp419@public.local","Research & Development","Laboratory Technician","0.5","false","0.5"
"Aarav Reed","aarav.reed.emp420@public.local","Sales","Sales Executive","0.75","false","1"
"Olivia Reed","olivia.reed.emp421@public.local","Research & Development","Research Director","0.5","false","0.25"
"Noah Reed","noah.reed.emp422@public.local","Research & Development","Healthcare Representative","0.75","false","1"
"Emma Reed","emma.reed.emp423@public.local","Research & Development","Research Scientist","1","false","0.75"
"Liam Reed","liam.reed.emp424@public.local","Human Resources","Human Resources","0.25","false","0.25"
"Sophia Reed","sophia.reed.emp425@public.local","Research & Development","Laboratory Technician","0.25","false","0.25"
"Mason Reed","mason.reed.emp426@public.local","Research & Development","Research Scientist","1","false","0.75"
"Lucas Reed","lucas.reed.emp428@public.local","Research & Development","Manager","0.5","false","1"
"Mia Reed","mia.reed.emp429@public.local","Research & Development","Manager","0.25","false","0.75"
"Ethan Reed","ethan.reed.emp430@public.local","Research & Development","Laboratory Technician","1","false","0.75"
"Amelia Reed","amelia.reed.emp431@public.local","Research & Development","Healthcare Representative","0.75","false","0.75"
"Harper Reed","harper.reed.emp433@public.local","Research & Development","Research Scientist","0.5","true","0.75"
"Benjamin Reed","benjamin.reed.emp434@public.local","Research & Development","Research Scientist","0.5","false","0.75"
"Elijah Reed","elijah.reed.emp436@public.local","Sales","Sales Executive","0.5","false","0.75"
"Abigail Reed","abigail.reed.emp437@public.local","Sales","Sales Executive","0.75","false","1"
"Daniel Reed","daniel.reed.emp438@public.local","Sales","Sales Executive","1","false","1"
"Ella Reed","ella.reed.emp439@public.local","Research & Development","Research Scientist","1","false","0.25"
"Aarav Patel","aarav.patel.emp440@public.local","Research & Development","Research Scientist","1","true","0.25"
"Olivia Patel","olivia.patel.emp441@public.local","Research & Development","Research Scientist","1","false","1"
"Noah Patel","noah.patel.emp442@public.local","Research & Development","Manufacturing Director","0.75","false","0.75"
"Liam Patel","liam.patel.emp444@public.local","Research & Development","Manager","1","false","0.75"
"Sophia Patel","sophia.patel.emp445@public.local","Sales","Sales Executive","0.75","true","1"
"Mason Patel","mason.patel.emp446@public.local","Sales","Sales Executive","1","false","0.5"
"Isabella Patel","isabella.patel.emp447@public.local","Research & Development","Research Director","0.75","false","1"
"Lucas Patel","lucas.patel.emp448@public.local","Research & Development","Laboratory Technician","0.75","false","0.75"
"Mia Patel","mia.patel.emp449@public.local","Sales","Sales Executive","0.5","false","0.75"
"Ethan Patel","ethan.patel.emp450@public.local","Research & Development","Research Scientist","0.75","false","1"
"Amelia Patel","amelia.patel.emp451@public.local","Research & Development","Healthcare Representative","0.25","false","0.75"
"James Patel","james.patel.emp452@public.local","Research & Development","Research Scientist","1","false","1"
"Harper Patel","harper.patel.emp453@public.local","Sales","Sales Executive","1","false","0.5"
"Benjamin Patel","benjamin.patel.emp454@public.local","Research & Development","Laboratory Technician","0.25","true","0.5"
"Evelyn Patel","evelyn.patel.emp455@public.local","Research & Development","Laboratory Technician","1","false","0.5"
"Elijah Patel","elijah.patel.emp456@public.local","Sales","Sales Executive","0.75","false","1"
"Daniel Patel","daniel.patel.emp458@public.local","Sales","Sales Executive","0.5","false","0.5"
"Aarav Kim","aarav.kim.emp460@public.local","Research & Development","Manufacturing Director","1","false","1"
"Olivia Kim","olivia.kim.emp461@public.local","Research & Development","Research Director","1","false","0.75"
"Noah Kim","noah.kim.emp462@public.local","Research & Development","Manufacturing Director","1","false","0.75"
"Emma Kim","emma.kim.emp463@public.local","Sales","Sales Executive","0.5","false","1"
"Liam Kim","liam.kim.emp464@public.local","Research & Development","Manufacturing Director","0.5","false","0.75"
"Sophia Kim","sophia.kim.emp465@public.local","Research & Development","Research Scientist","1","false","0.75"
"Mason Kim","mason.kim.emp466@public.local","Research & Development","Manufacturing Director","0.5","false","1"
"Isabella Kim","isabella.kim.emp467@public.local","Sales","Sales Representative","0.75","false","0.5"
"Lucas Kim","lucas.kim.emp468@public.local","Research & Development","Research Director","1","false","0.25"
"Mia Kim","mia.kim.emp469@public.local","Sales","Sales Executive","0.75","false","1"
"Ethan Kim","ethan.kim.emp470@public.local","Human Resources","Human Resources","0.75","false","0.75"
"Amelia Kim","amelia.kim.emp471@public.local","Research & Development","Laboratory Technician","0.5","false","0.75"
"Harper Kim","harper.kim.emp473@public.local","Sales","Manager","0.75","false","0.25"
"Benjamin Kim","benjamin.kim.emp474@public.local","Research & Development","Research Scientist","0.25","false","0.75"
"Evelyn Kim","evelyn.kim.emp475@public.local","Sales","Sales Executive","0.75","false","1"
"Elijah Kim","elijah.kim.emp476@public.local","Sales","Sales Executive","0.75","false","0.75"
"Abigail Kim","abigail.kim.emp477@public.local","Research & Development","Healthcare Representative","1","false","0.25"
"Daniel Kim","daniel.kim.emp478@public.local","Sales","Sales Representative","0.5","true","0.25"
"Ella Kim","ella.kim.emp479@public.local","Sales","Sales Executive","1","false","1"
"Olivia Brooks","olivia.brooks.emp481@public.local","Sales","Sales Executive","1","false","0.25"
"Noah Brooks","noah.brooks.emp482@public.local","Research & Development","Healthcare Representative","0.75","false","1"
"Emma Brooks","emma.brooks.emp483@public.local","Research & Development","Laboratory Technician","0.75","false","1"
"Liam Brooks","liam.brooks.emp484@public.local","Sales","Sales Representative","1","false","0.25"
"Sophia Brooks","sophia.brooks.emp485@public.local","Sales","Sales Representative","0.75","true","1"
"Mason Brooks","mason.brooks.emp486@public.local","Research & Development","Laboratory Technician","0.25","false","0.75"
"Isabella Brooks","isabella.brooks.emp487@public.local","Research & Development","Manufacturing Director","0.75","false","0.75"
"Lucas Brooks","lucas.brooks.emp488@public.local","Sales","Sales Executive","0.5","true","0.25"
"Amelia Brooks","amelia.brooks.emp491@public.local","Research & Development","Healthcare Representative","1","false","1"
"James Brooks","james.brooks.emp492@public.local","Sales","Sales Executive","0.75","true","0.75"
"Harper Brooks","harper.brooks.emp493@public.local","Research & Development","Research Scientist","0.5","false","0.75"
"Benjamin Brooks","benjamin.brooks.emp494@public.local","Sales","Sales Representative","0.5","true","0.75"
"Evelyn Brooks","evelyn.brooks.emp495@public.local","Research & Development","Research Scientist","1","false","1"
"Elijah Brooks","elijah.brooks.emp496@public.local","Research & Development","Healthcare Representative","0.5","false","0.75"
"Abigail Brooks","abigail.brooks.emp497@public.local","Research & Development","Laboratory Technician","0.5","false","1"
"Daniel Brooks","daniel.brooks.emp498@public.local","Sales","Sales Executive","1","false","0.5"
"Ella Brooks","ella.brooks.emp499@public.local","Research & Development","Healthcare Representative","0.75","false","0.5"
"Aarav Diaz","aarav.diaz.emp500@public.local","Sales","Sales Executive","1","false","0.75"
"Olivia Diaz","olivia.diaz.emp501@public.local","Research & Development","Research Scientist","0.75","false","1"
"Noah Diaz","noah.diaz.emp502@public.local","Sales","Sales Executive","1","true","0.25"
"Sophia Diaz","sophia.diaz.emp505@public.local","Research & Development","Manager","1","false","0.75"
"Isabella Diaz","isabella.diaz.emp507@public.local","Sales","Sales Executive","0.75","false","1"
"Lucas Diaz","lucas.diaz.emp508@public.local","Sales","Sales Representative","0.5","false","0.75"
"Ethan Diaz","ethan.diaz.emp510@public.local","Research & Development","Research Scientist","0.25","true","0.75"
"Amelia Diaz","amelia.diaz.emp511@public.local","Research & Development","Research Scientist","0.5","false","0.25"
"Harper Diaz","harper.diaz.emp513@public.local","Sales","Sales Executive","0.75","false","0.5"
"Benjamin Diaz","benjamin.diaz.emp514@public.local","Research & Development","Research Scientist","1","true","0.75"
"Evelyn Diaz","evelyn.diaz.emp515@public.local","Research & Development","Laboratory Technician","0.25","false","1"
"Elijah Diaz","elijah.diaz.emp516@public.local","Sales","Sales Executive","0.5","false","1"
"Abigail Diaz","abigail.diaz.emp517@public.local","Research & Development","Laboratory Technician","0.25","false","0.5"
"Daniel Diaz","daniel.diaz.emp518@public.local","Research & Development","Manufacturing Director","0.5","false","0.75"
"Aarav Singh","aarav.singh.emp520@public.local","Research & Development","Research Director","0.5","false","0.25"
"Olivia Singh","olivia.singh.emp521@public.local","Research & Development","Laboratory Technician","0.75","false","0.5"
"Noah Singh","noah.singh.emp522@public.local","Research & Development","Research Director","0.25","false","0.25"
"Emma Singh","emma.singh.emp523@public.local","Sales","Sales Executive","0.75","false","0.75"
"Liam Singh","liam.singh.emp524@public.local","Research & Development","Manufacturing Director","0.25","false","0.5"
"Sophia Singh","sophia.singh.emp525@public.local","Research & Development","Laboratory Technician","1","false","1"
"Mason Singh","mason.singh.emp526@public.local","Research & Development","Healthcare Representative","0.75","false","0.75"
"Isabella Singh","isabella.singh.emp527@public.local","Sales","Sales Executive","1","false","0.5"
"Mia Singh","mia.singh.emp529@public.local","Research & Development","Research Scientist","0.75","false","0.5"
"Ethan Singh","ethan.singh.emp530@public.local","Research & Development","Laboratory Technician","0.25","false","1"
"Amelia Singh","amelia.singh.emp531@public.local","Research & Development","Manager","0.75","false","0.5"
"James Singh","james.singh.emp532@public.local","Sales","Sales Executive","0.25","false","0.75"
"Harper Singh","harper.singh.emp533@public.local","Sales","Sales Executive","0.75","false","0.5"
"Benjamin Singh","benjamin.singh.emp534@public.local","Sales","Sales Executive","0.25","false","0.5"
"Elijah Singh","elijah.singh.emp536@public.local","Research & Development","Laboratory Technician","0.25","false","0.75"
"Daniel Singh","daniel.singh.emp538@public.local","Research & Development","Laboratory Technician","0.25","true","0.25"
"Emma Martinez","emma.martinez.emp543@public.local","Research & Development","Manufacturing Director","0.75","false","1"
"Liam Martinez","liam.martinez.emp544@public.local","Research & Development","Research Scientist","1","false","0.25"
"Mason Martinez","mason.martinez.emp546@public.local","Research & Development","Manager","1","false","1"
"Isabella Martinez","isabella.martinez.emp547@public.local","Research & Development","Research Scientist","0.75","false","0.25"
"Lucas Martinez","lucas.martinez.emp548@public.local","Research & Development","Manufacturing Director","1","false","0.75"
"Mia Martinez","mia.martinez.emp549@public.local","Research & Development","Manager","0.25","false","0.25"
"Ethan Martinez","ethan.martinez.emp550@public.local","Research & Development","Manufacturing Director","0.75","false","0.75"
"Amelia Martinez","amelia.martinez.emp551@public.local","Research & Development","Healthcare Representative","1","false","1"
"Benjamin Martinez","benjamin.martinez.emp554@public.local","Sales","Sales Representative","0.5","true","0.25"
"Evelyn Martinez","evelyn.martinez.emp555@public.local","Sales","Sales Representative","0.75","true","1"
"Elijah Martinez","elijah.martinez.emp556@public.local","Research & Development","Laboratory Technician","1","false","1"
"Daniel Martinez","daniel.martinez.emp558@public.local","Sales","Manager","0.75","false","0.75"
"Aarav Walker","aarav.walker.emp560@public.local","Research & Development","Research Scientist","1","false","0.25"
"Noah Walker","noah.walker.emp562@public.local","Research & Development","Laboratory Technician","1","false","0.75"
"Liam Walker","liam.walker.emp564@public.local","Research & Development","Research Director","0.75","false","0.5"
"Sophia Walker","sophia.walker.emp565@public.local","Research & Development","Research Scientist","0.5","true","0.75"
"Mason Walker","mason.walker.emp566@public.local","Human Resources","Human Resources","1","true","0.25"
"Isabella Walker","isabella.walker.emp567@public.local","Sales","Sales Executive","0.25","false","0.75"
"Lucas Walker","lucas.walker.emp568@public.local","Sales","Manager","1","false","0.25"
"Mia Walker","mia.walker.emp569@public.local","Research & Development","Manager","0.75","false","0.5"
"Amelia Walker","amelia.walker.emp571@public.local","Research & Development","Laboratory Technician","1","false","0.75"
"Harper Walker","harper.walker.emp573@public.local","Sales","Sales Executive","0.25","false","0.75"
"Benjamin Walker","benjamin.walker.emp574@public.local","Research & Development","Manufacturing Director","1","false","0.25"
"Evelyn Walker","evelyn.walker.emp575@public.local","Research & Development","Research Director","0.75","false","0.25"
"Abigail Walker","abigail.walker.emp577@public.local","Research & Development","Laboratory Technician","0.75","false","1"
"Daniel Walker","daniel.walker.emp578@public.local","Research & Development","Laboratory Technician","0.75","false","0.75"
"Ella Walker","ella.walker.emp579@public.local","Research & Development","Research Scientist","0.75","false","1"
"Aarav Evans","aarav.evans.emp580@public.local","Sales","Sales Executive","1","false","0.75"
"Olivia Evans","olivia.evans.emp581@public.local","Research & Development","Manufacturing Director","0.5","false","0.75"
"Noah Evans","noah.evans.emp582@public.local","Research & Development","Manager","0.75","true","0.5"
"Liam Evans","liam.evans.emp584@public.local","Research & Development","Laboratory Technician","1","true","0.25"
"Sophia Evans","sophia.evans.emp585@public.local","Sales","Sales Representative","0.5","false","1"
"Mason Evans","mason.evans.emp586@public.local","Research & Development","Healthcare Representative","0.75","false","1"
"Isabella Evans","isabella.evans.emp587@public.local","Research & Development","Healthcare Representative","0.75","true","0.25"
"Ethan Evans","ethan.evans.emp590@public.local","Human Resources","Human Resources","0.25","true","0.5"
"Amelia Evans","amelia.evans.emp591@public.local","Research & Development","Laboratory Technician","0.75","false","0.5"
"James Evans","james.evans.emp592@public.local","Sales","Sales Executive","1","false","0.5"
"Harper Evans","harper.evans.emp593@public.local","Research & Development","Laboratory Technician","0.75","true","0.75"
"Evelyn Evans","evelyn.evans.emp595@public.local","Sales","Sales Executive","1","false","0.5"
"Abigail Evans","abigail.evans.emp597@public.local","Sales","Manager","0.5","false","0.25"
"Ella Evans","ella.evans.emp599@public.local","Sales","Sales Executive","1","false","1"
"Aarav Lopez","aarav.lopez.emp600@public.local","Sales","Sales Executive","0.75","false","0.5"
"Olivia Lopez","olivia.lopez.emp601@public.local","Research & Development","Manufacturing Director","0.75","false","0.5"
"Noah Lopez","noah.lopez.emp602@public.local","Research & Development","Laboratory Technician","0.75","false","0.75"
"Liam Lopez","liam.lopez.emp604@public.local","Sales","Sales Executive","1","false","0.5"
"Sophia Lopez","sophia.lopez.emp605@public.local","Research & Development","Manufacturing Director","0.25","false","1"
"Mason Lopez","mason.lopez.emp606@public.local","Sales","Sales Executive","0.5","false","1"
"Lucas Lopez","lucas.lopez.emp608@public.local","Human Resources","Human Resources","0.75","true","0.5"
"Amelia Lopez","amelia.lopez.emp611@public.local","Research & Development","Manufacturing Director","1","false","1"
"James Lopez","james.lopez.emp612@public.local","Research & Development","Research Director","0.75","false","0.25"
"Harper Lopez","harper.lopez.emp613@public.local","Sales","Manager","1","false","0.75"
"Benjamin Lopez","benjamin.lopez.emp614@public.local","Sales","Sales Representative","0.5","true","0.5"
"Evelyn Lopez","evelyn.lopez.emp615@public.local","Sales","Sales Executive","0.25","false","0.75"
"Elijah Lopez","elijah.lopez.emp616@public.local","Research & Development","Healthcare Representative","0.75","false","0.25"
"Daniel Lopez","daniel.lopez.emp618@public.local","Sales","Sales Executive","0.75","false","0.25"
"Aarav Hughes","aarav.hughes.emp620@public.local","Sales","Sales Executive","0.75","false","0.25"
"Olivia Hughes","olivia.hughes.emp621@public.local","Sales","Sales Executive","1","false","1"
"Noah Hughes","noah.hughes.emp622@public.local","Research & Development","Laboratory Technician","1","true","0.75"
"Emma Hughes","emma.hughes.emp623@public.local","Research & Development","Manufacturing Director","1","false","0.5"
"Liam Hughes","liam.hughes.emp624@public.local","Research & Development","Healthcare Representative","0.75","false","0.25"
"Sophia Hughes","sophia.hughes.emp625@public.local","Sales","Manager","0.25","false","0.5"
"Mason Hughes","mason.hughes.emp626@public.local","Sales","Sales Executive","0.5","false","0.25"
"Ethan Hughes","ethan.hughes.emp630@public.local","Research & Development","Research Scientist","0.25","false","1"
"Amelia Hughes","amelia.hughes.emp631@public.local","Sales","Sales Executive","0.75","true","1"
"James Hughes","james.hughes.emp632@public.local","Sales","Sales Representative","1","false","1"
"Benjamin Hughes","benjamin.hughes.emp634@public.local","Research & Development","Healthcare Representative","0.75","false","0.75"
"Evelyn Hughes","evelyn.hughes.emp635@public.local","Research & Development","Manufacturing Director","0.5","false","0.5"
"Daniel Hughes","daniel.hughes.emp638@public.local","Research & Development","Research Director","0.75","false","1"
"Ella Hughes","ella.hughes.emp639@public.local","Research & Development","Research Scientist","1","false","0.5"
"Olivia Torres","olivia.torres.emp641@public.local","Sales","Sales Executive","0.5","false","0.25"
"Emma Torres","emma.torres.emp643@public.local","Research & Development","Laboratory Technician","0.5","false","1"
"Liam Torres","liam.torres.emp644@public.local","Human Resources","Manager","0.5","false","0.25"
"Sophia Torres","sophia.torres.emp645@public.local","Sales","Sales Representative","0.75","false","0.5"
"Isabella Torres","isabella.torres.emp647@public.local","Research & Development","Laboratory Technician","0.75","true","0.25"
"Lucas Torres","lucas.torres.emp648@public.local","Sales","Sales Representative","0.25","true","0.5"
"Mia Torres","mia.torres.emp649@public.local","Research & Development","Research Scientist","1","false","0.5"
"Ethan Torres","ethan.torres.emp650@public.local","Sales","Sales Executive","0.25","true","0.5"
"James Torres","james.torres.emp652@public.local","Research & Development","Laboratory Technician","1","false","0.25"
"Harper Torres","harper.torres.emp653@public.local","Sales","Sales Executive","1","false","0.25"
"Evelyn Torres","evelyn.torres.emp655@public.local","Research & Development","Research Scientist","0.75","false","0.25"
"Elijah Torres","elijah.torres.emp656@public.local","Sales","Sales Executive","0.75","false","1"
"Abigail Torres","abigail.torres.emp657@public.local","Research & Development","Research Scientist","0.5","false","1"
"Ella Torres","ella.torres.emp659@public.local","Research & Development","Healthcare Representative","1","false","0.75"
"Olivia Bennett","olivia.bennett.emp661@public.local","Research & Development","Research Director","1","false","0.5"
"Noah Bennett","noah.bennett.emp662@public.local","Research & Development","Research Scientist","0.25","false","0.75"
"Emma Bennett","emma.bennett.emp663@public.local","Research & Development","Laboratory Technician","0.75","false","1"
"Liam Bennett","liam.bennett.emp664@public.local","Research & Development","Manager","0.25","false","1"
"Sophia Bennett","sophia.bennett.emp665@public.local","Human Resources","Human Resources","0.75","false","0.25"
"Mason Bennett","mason.bennett.emp666@public.local","Sales","Sales Representative","0.75","false","0.75"
"Isabella Bennett","isabella.bennett.emp667@public.local","Sales","Sales Representative","0.25","true","0.75"
"Mia Bennett","mia.bennett.emp669@public.local","Sales","Sales Representative","0.75","false","0.75"
"Amelia Bennett","amelia.bennett.emp671@public.local","Research & Development","Manager","1","false","1"
"Evelyn Bennett","evelyn.bennett.emp675@public.local","Research & Development","Research Scientist","0.75","false","0.25"
"Abigail Bennett","abigail.bennett.emp677@public.local","Sales","Sales Executive","0.75","false","0.75"
"Ella Bennett","ella.bennett.emp679@public.local","Research & Development","Research Scientist","1","false","0.25"
"Aarav Ramirez","aarav.ramirez.emp680@public.local","Research & Development","Research Scientist","0.75","false","0.75"
"Noah Ramirez","noah.ramirez.emp682@public.local","Sales","Sales Executive","0.25","false","1"
"Emma Ramirez","emma.ramirez.emp683@public.local","Research & Development","Research Scientist","1","false","0.5"
"Liam Ramirez","liam.ramirez.emp684@public.local","Sales","Sales Executive","0.25","true","0.25"
"Mason Ramirez","mason.ramirez.emp686@public.local","Research & Development","Laboratory Technician","1","false","0.75"
"Mia Ramirez","mia.ramirez.emp689@public.local","Research & Development","Manufacturing Director","0.75","false","0.75"
"Ethan Ramirez","ethan.ramirez.emp690@public.local","Sales","Sales Executive","0.75","false","0.5"
"Amelia Ramirez","amelia.ramirez.emp691@public.local","Research & Development","Research Scientist","1","false","0.5"
"James Ramirez","james.ramirez.emp692@public.local","Research & Development","Healthcare Representative","1","false","0.75"
"Daniel Ramirez","daniel.ramirez.emp698@public.local","Human Resources","Human Resources","0.5","false","0.75"
"Ella Ramirez","ella.ramirez.emp699@public.local","Research & Development","Manufacturing Director","0.5","false","0.5"
"Aarav Shaw","aarav.shaw.emp700@public.local","Research & Development","Research Scientist","1","false","0.25"
"Olivia Shaw","olivia.shaw.emp701@public.local","Research & Development","Research Scientist","0.75","true","1"
"Noah Shaw","noah.shaw.emp702@public.local","Research & Development","Research Scientist","0.25","true","0.25"
"Liam Shaw","liam.shaw.emp704@public.local","Research & Development","Laboratory Technician","0.75","false","0.75"
"Sophia Shaw","sophia.shaw.emp705@public.local","Research & Development","Research Scientist","0.25","false","0.25"
"Isabella Shaw","isabella.shaw.emp707@public.local","Sales","Sales Executive","0.5","false","1"
"Mia Shaw","mia.shaw.emp709@public.local","Sales","Sales Executive","1","false","1"
"Ethan Shaw","ethan.shaw.emp710@public.local","Research & Development","Research Scientist","1","false","0.5"
"James Shaw","james.shaw.emp712@public.local","Sales","Sales Executive","0.5","false","0.5"
"Benjamin Shaw","benjamin.shaw.emp714@public.local","Sales","Sales Executive","1","false","1"
"Evelyn Shaw","evelyn.shaw.emp715@public.local","Research & Development","Research Scientist","1","false","1"
"Elijah Shaw","elijah.shaw.emp716@public.local","Research & Development","Laboratory Technician","0.75","false","1"
"Abigail Shaw","abigail.shaw.emp717@public.local","Research & Development","Healthcare Representative","0.5","false","1"
"Aarav Cruz","aarav.cruz.emp720@public.local","Sales","Sales Executive","0.75","true","0.25"
"Olivia Cruz","olivia.cruz.emp721@public.local","Research & Development","Healthcare Representative","0.75","false","1"
"Noah Cruz","noah.cruz.emp722@public.local","Sales","Sales Executive","1","false","1"
"Emma Cruz","emma.cruz.emp723@public.local","Sales","Sales Executive","0.75","true","0.5"
"Liam Cruz","liam.cruz.emp724@public.local","Research & Development","Healthcare Representative","1","false","0.5"
"Sophia Cruz","sophia.cruz.emp725@public.local","Research & Development","Manufacturing Director","0.25","false","0.75"
"Isabella Cruz","isabella.cruz.emp727@public.local","Research & Development","Research Director","1","false","0.75"
"Lucas Cruz","lucas.cruz.emp728@public.local","Sales","Sales Executive","0.25","false","1"
"Mia Cruz","mia.cruz.emp729@public.local","Sales","Sales Executive","0.25","false","1"
"Ethan Cruz","ethan.cruz.emp730@public.local","Research & Development","Research Director","0.75","false","0.75"
"Amelia Cruz","amelia.cruz.emp731@public.local","Human Resources","Manager","1","false","0.5"
"James Cruz","james.cruz.emp732@public.local","Sales","Sales Executive","0.25","false","0.25"
"Harper Cruz","harper.cruz.emp733@public.local","Research & Development","Manufacturing Director","0.25","false","1"
"Benjamin Cruz","benjamin.cruz.emp734@public.local","Human Resources","Manager","0.75","false","1"
"Daniel Cruz","daniel.cruz.emp738@public.local","Sales","Sales Representative","0.5","false","1"
"Olivia Powell","olivia.powell.emp741@public.local","Research & Development","Research Scientist","0.5","true","0.25"
"Noah Powell","noah.powell.emp742@public.local","Research & Development","Research Director","0.25","false","0.25"
"Emma Powell","emma.powell.emp743@public.local","Research & Development","Manufacturing Director","0.75","false","0.75"
"Liam Powell","liam.powell.emp744@public.local","Research & Development","Laboratory Technician","0.75","false","0.25"
"Mason Powell","mason.powell.emp746@public.local","Sales","Sales Executive","0.75","false","1"
"Isabella Powell","isabella.powell.emp747@public.local","Sales","Sales Executive","1","false","0.75"
"Mia Powell","mia.powell.emp749@public.local","Sales","Sales Representative","0.75","false","0.75"
"James Powell","james.powell.emp752@public.local","Research & Development","Research Scientist","0.75","true","0.75"
"Benjamin Powell","benjamin.powell.emp754@public.local","Sales","Sales Executive","1","false","1"
"Abigail Powell","abigail.powell.emp757@public.local","Research & Development","Healthcare Representative","0.75","false","0.5"
"Daniel Powell","daniel.powell.emp758@public.local","Research & Development","Laboratory Technician","0.25","false","0.5"
"Aarav Murphy","aarav.murphy.emp760@public.local","Human Resources","Human Resources","0.5","false","0.75"
"Noah Murphy","noah.murphy.emp762@public.local","Research & Development","Healthcare Representative","1","false","0.75"
"Emma Murphy","emma.murphy.emp763@public.local","Research & Development","Research Scientist","1","false","1"
"Liam Murphy","liam.murphy.emp764@public.local","Research & Development","Healthcare Representative","0.25","false","1"
"Mason Murphy","mason.murphy.emp766@public.local","Sales","Sales Representative","0.5","false","1"
"Mia Murphy","mia.murphy.emp769@public.local","Research & Development","Laboratory Technician","1","false","1"
"Amelia Murphy","amelia.murphy.emp771@public.local","Research & Development","Healthcare Representative","0.25","false","1"
"James Murphy","james.murphy.emp772@public.local","Research & Development","Laboratory Technician","1","false","0.25"
"Harper Murphy","harper.murphy.emp773@public.local","Research & Development","Research Scientist","0.75","false","1"
"Evelyn Murphy","evelyn.murphy.emp775@public.local","Research & Development","Manufacturing Director","0.25","false","0.5"
"Elijah Murphy","elijah.murphy.emp776@public.local","Sales","Manager","0.25","false","0.75"
"Aarav Hayes","aarav.hayes.emp780@public.local","Research & Development","Research Scientist","1","true","1"
"Olivia Hayes","olivia.hayes.emp781@public.local","Sales","Sales Executive","1","false","0.75"
"Emma Hayes","emma.hayes.emp783@public.local","Sales","Sales Representative","0.75","false","0.5"
"Liam Hayes","liam.hayes.emp784@public.local","Research & Development","Research Scientist","0.75","false","0.25"
"Sophia Hayes","sophia.hayes.emp785@public.local","Sales","Sales Executive","0.75","true","0.5"
"Mason Hayes","mason.hayes.emp786@public.local","Sales","Sales Executive","1","false","1"
"Isabella Hayes","isabella.hayes.emp787@public.local","Research & Development","Manager","0.25","true","1"
"Mia Hayes","mia.hayes.emp789@public.local","Sales","Sales Executive","0.25","false","0.25"
"Amelia Hayes","amelia.hayes.emp791@public.local","Research & Development","Research Scientist","1","false","1"
"James Hayes","james.hayes.emp792@public.local","Research & Development","Laboratory Technician","1","false","0.25"
"Harper Hayes","harper.hayes.emp793@public.local","Research & Development","Healthcare Representative","0.75","false","0.5"
"Elijah Hayes","elijah.hayes.emp796@public.local","Sales","Sales Executive","0.25","true","1"
"Abigail Hayes","abigail.hayes.emp797@public.local","Research & Development","Research Scientist","1","false","0.5"
"Ella Hayes","ella.hayes.emp799@public.local","Research & Development","Manufacturing Director","0.25","false","1"
"Aarav Parker","aarav.parker.emp800@public.local","Sales","Sales Executive","1","false","0.75"
"Noah Parker","noah.parker.emp802@public.local","Research & Development","Research Scientist","0.25","false","1"
"Emma Parker","emma.parker.emp803@public.local","Research & Development","Manufacturing Director","0.25","false","0.25"
"Liam Parker","liam.parker.emp804@public.local","Research & Development","Research Scientist","0.25","false","0.75"
"Sophia Parker","sophia.parker.emp805@public.local","Sales","Sales Representative","1","false","0.25"
"Mason Parker","mason.parker.emp806@public.local","Research & Development","Laboratory Technician","0.75","false","1"
"Isabella Parker","isabella.parker.emp807@public.local","Research & Development","Healthcare Representative","0.5","false","0.75"
"Lucas Parker","lucas.parker.emp808@public.local","Sales","Sales Executive","0.25","false","0.75"
"Mia Parker","mia.parker.emp809@public.local","Research & Development","Manager","1","false","0.5"
"Amelia Parker","amelia.parker.emp811@public.local","Research & Development","Laboratory Technician","0.25","true","0.75"
"James Parker","james.parker.emp812@public.local","Research & Development","Laboratory Technician","0.5","false","0.75"
"Harper Parker","harper.parker.emp813@public.local","Research & Development","Laboratory Technician","0.75","false","1"
"Evelyn Parker","evelyn.parker.emp815@public.local","Research & Development","Research Director","0.75","false","0.75"
"Elijah Parker","elijah.parker.emp816@public.local","Research & Development","Laboratory Technician","0.25","true","0.5"
"Abigail Parker","abigail.parker.emp817@public.local","Research & Development","Research Director","0.75","false","0.75"
"Ella Parker","ella.parker.emp819@public.local","Sales","Sales Executive","0.25","true","0.25"
"Aarav Reed","aarav.reed.emp820@public.local","Research & Development","Manager","1","false","0.75"
"Emma Reed","emma.reed.emp823@public.local","Research & Development","Manufacturing Director","0.5","false","0.75"
"Liam Reed","liam.reed.emp824@public.local","Research & Development","Research Scientist","0.75","false","0.75"
